Season,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,W_H,D_H,L_H,GF_H,GA_H,GD_H,W_A,D_A,L_A,GF_A,GA_A,GD_A,WLF_H,DLF_H,LLF_H,WLF_A,DLF_A,LLF_A
2012,27,30,0.14285714285714285,0.16666666666666666,1,0.04036144578313252,0.1359423274974253,0.14421385860007033,0.0240057327122895,0.12563323201621074,0.1475,0.03235908141962421,0.11913357400722023,0.14746362563900905,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.5137614678899083,0.0,0.0,0.0,0.0,0.0,0.0
2012,34,17,0.14285714285714285,0.16666666666666666,1,0.10542168674698794,0.08753861997940268,0.05381639113612382,0.062343246148333926,0.08004052684903748,0.07500000000000001,0.07933194154488517,0.08664259927797836,0.05623279591034212,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.5137614678899083,0.0,0.0,0.0,0.0,0.0,0.0
2012,16,26,0.2857142857142857,0.16666666666666666,2,0.03132530120481927,0.1544799176107106,0.19591980302497364,0.02078108204944464,0.14387031408308001,0.20055555555555554,0.027139874739039668,0.13959085439229846,0.1765631144317735,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.5137614678899083,0.0,0.0,0.0,0.0,0.0,0.0
2012,6,33,0.5714285714285714,0.3333333333333333,2,0.08493975903614458,0.08341915550978372,0.07034822370735139,0.050161232533142246,0.07700101317122596,0.0875,0.06680584551148226,0.09025270758122743,0.06645694062131341,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.5137614678899083,0.0,0.0,0.0,0.0,0.0,0.0
2012,11,18,0.0,0.16666666666666666,0,0.053012048192771076,0.10195674562306897,0.11466760464298277,0.03117162307416696,0.09118541033434649,0.1225,0.04279749478079331,0.09867629362214203,0.10774675580023595,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.5137614678899083,0.0,0.0,0.0,0.0,0.0,0.0
2012,22,12,0.2857142857142857,0.0,2,0.04096385542168674,0.11225540679711635,0.15863524446007737,0.024364027230383372,0.1286727456940223,0.16666666666666666,0.030793319415448845,0.12515042117930203,0.1553283523397562,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.5137614678899083,0.0,0.0,0.0,0.0,0.0,0.0
2012,29,3,0.0,0.16666666666666666,0,0.12289156626506023,0.09371781668383111,0.04537460429124165,0.07273378717305626,0.08308004052684906,0.07277777777777777,0.08716075156576202,0.08664259927797836,0.05112072355485648,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.5137614678899083,0.0,0.0,0.0,0.0,0.0,0.0
2012,5,32,0.0,0.0,1,0.0753012048192771,0.09268795056642634,0.07632782272247625,0.04872805446076675,0.09017223910840932,0.09222222222222222,0.06419624217118997,0.08543922984356202,0.07156901297679907,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.5137614678899083,0.0,0.0,0.0,0.0,0.0,0.0
2012,14,2,0.0,0.0,1,0.04518072289156626,0.12358393408856849,0.1290889905029898,0.02723038337513436,0.11752786220871328,0.1338888888888889,0.03705636743215031,0.11552346570397116,0.1238694455367676,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.5137614678899083,0.0,0.0,0.0,0.0,0.0,0.0
2012,35,21,0.2857142857142857,0.16666666666666666,2,0.07048192771084337,0.0885684860968074,0.08371438621174815,0.041562164098889284,0.08409321175278622,0.10111111111111111,0.05271398747390397,0.0890493381468111,0.08887141171844279,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,0.0,0.0,0.0,0.0,0.0,0.5137614678899083,0.0,0.0,0.0,0.0,0.0,0.0
