Season,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,W_H,D_H,L_H,GF_H,GA_H,GD_H,W_A,D_A,L_A,GF_A,GA_A,GD_A
2012,33,32,1.0,0.0,H,1.85,3.7,4.74,1.88,3.76,4.74,1.83,3.42,4.11,1,0,2,3,5,-2,0,3,0,1,1,0
2012,14,16,1.0,0.0,H,1.77,3.85,5.09,1.79,4.09,5.09,1.72,3.53,4.54,2,2,0,4,2,2,1,3,0,5,4,1
2012,22,6,1.0,2.0,A,1.61,4.37,5.94,1.61,4.59,6.5,1.54,3.91,5.7,2,2,0,6,3,3,2,0,2,11,10,1
2012,18,30,4.0,1.0,H,1.54,4.38,6.98,1.58,4.38,8.0,1.46,4.04,6.8,1,3,0,4,3,1,1,1,2,3,4,-1
2012,5,34,2.0,1.0,H,1.93,3.54,4.51,2.1,3.54,4.51,1.96,3.34,3.68,0,2,2,2,4,-2,1,2,1,3,3,0
2012,17,32,1.0,0.0,H,1.75,3.96,5.13,1.76,3.97,5.65,1.63,3.65,5.12,1,3,0,9,7,2,0,3,1,1,2,-1
2012,27,35,1.0,1.0,D,2.38,3.55,3.14,2.45,3.56,3.32,2.33,3.24,2.91,0,1,3,2,5,-3,4,0,0,9,4,5
2012,33,3,1.0,0.0,H,2.31,3.24,3.53,2.31,3.39,3.75,2.1,3.23,3.38,2,0,2,4,5,-1,3,1,0,4,1,3
2012,12,2,3.0,0.0,H,1.94,3.7,4.22,2.02,3.7,4.59,1.83,3.42,4.08,1,0,3,5,8,-3,0,2,2,1,4,-3
2012,26,21,1.0,0.0,H,2.7,3.42,2.8,2.7,3.47,2.94,2.44,3.26,2.73,1,1,2,6,8,-2,3,0,1,5,2,3
2012,29,11,1.0,0.0,H,2.19,3.66,3.44,2.29,3.66,3.75,2.15,3.24,3.23,0,3,1,3,4,-1,0,1,3,1,5,-4
2012,30,33,1.0,0.0,H,3.42,3.8,2.15,3.51,3.8,2.35,3.07,3.28,2.22,1,1,3,4,8,-4,3,0,2,5,5,0
2012,35,14,1.0,3.0,A,1.8,3.91,4.76,1.8,4.0,5.0,1.72,3.59,4.53,4,1,0,10,5,5,3,2,0,5,2,3
2012,3,26,5.0,1.0,H,1.35,5.09,10.75,1.44,5.5,11.04,1.35,4.54,8.38,3,1,1,4,2,2,2,1,2,7,8,-1
2012,11,27,2.0,1.0,H,2.92,3.35,2.63,2.92,3.35,2.77,2.65,3.1,2.62,0,1,4,1,6,-5,0,2,3,3,6,-3
2012,16,5,1.0,1.0,D,1.59,4.0,6.99,1.65,4.09,6.99,1.59,3.74,5.46,1,3,1,5,5,0,1,2,2,4,5,-1
2012,21,17,2.0,0.0,H,1.63,3.97,6.33,1.78,3.99,6.44,1.66,3.66,4.92,3,0,2,5,3,2,2,3,0,10,7,3
2012,2,18,1.0,4.0,A,2.78,3.46,2.69,2.9,3.46,2.76,2.8,3.22,2.41,0,2,3,1,7,-6,2,3,0,8,4,4
2012,6,29,1.0,2.0,A,1.55,4.24,7.18,1.68,4.28,7.18,1.58,3.82,5.41,3,0,2,13,11,2,1,3,1,4,4,0
2012,32,12,2.0,2.0,D,1.69,4.12,5.35,1.74,4.16,5.75,1.6,3.78,5.18,0,3,2,1,3,-2,2,0,3,8,8,0
2012,34,22,0.0,2.0,A,2.93,3.33,2.65,3.25,3.33,2.65,2.88,3.15,2.4,1,2,2,4,5,-1,2,2,1,7,5,2
2012,14,33,2.0,3.0,A,2.09,3.48,3.92,2.2,3.6,3.92,2.04,3.3,3.47,4,2,0,8,3,5,3,0,3,5,6,-1
2012,26,18,0.0,2.0,A,3.14,3.43,2.45,3.14,3.43,2.75,2.86,3.24,2.35,2,1,3,8,13,-5,3,3,0,12,5,7
2012,35,29,3.0,2.0,H,1.58,4.23,6.5,1.58,4.8,8.0,1.46,4.03,6.78,4,1,1,11,8,3,2,3,1,6,5,1
2012,5,22,1.0,1.0,D,2.98,3.41,2.54,3.1,3.5,2.56,2.9,3.16,2.38,1,3,2,5,6,-1,3,2,1,9,5,4
2012,12,34,2.0,3.0,A,1.7,3.95,5.51,1.71,4.2,5.64,1.66,3.58,5.01,2,1,3,10,10,0,1,2,3,4,7,-3
2012,30,32,0.0,0.0,D,3.93,3.56,2.04,4.01,3.7,2.1,3.52,3.32,2.02,2,1,3,5,8,-3,0,4,2,3,5,-2
2012,17,2,3.0,2.0,H,1.76,3.75,5.38,1.76,4.5,6.0,1.59,3.71,5.44,2,3,1,10,9,1,0,2,4,2,11,-9
2012,21,3,0.0,1.0,A,1.97,3.51,4.42,2.0,3.8,4.42,1.93,3.31,3.8,4,0,2,7,3,4,4,1,1,9,3,6
2012,27,16,3.0,1.0,H,1.97,3.55,4.33,2.22,3.55,4.33,2.0,3.28,3.64,0,2,4,4,8,-4,1,4,1,6,6,0
